Id Inscripció,Nom,Nom Lliga,Territorial de la competició,Entitat,Territorial del club,Estat,Codi Lliga,Data Pagament Albara,Data Introducció,Accés a les fases,Is Impresa?,Nivell,Núm. sorteig,Modalitat,Categoria,Subcategoria,Dia partit,Horari partit,Observacions,Grups,Email
218908,"Fundació Privada St. Paul's ""A""",HOQUEI SALA ALEVÍ MIXT 1ª FASE CEEB,,Fundació Privada St. Paul's,Genèrica,Tramitada,,2025-11-07,2025-10-24,,0,Nivell C,Casa,HOQUEI SALA,ALEVÍ,MIXT,Dijous,18:00 h,,,alex.podgaezky@stpauls.es
218169,"CEBLL (CB Torrelles) ""A""",HOQUEI PATINS PREBENJAMI MIXT 1ª FASE CEEB,,CEBLL (CB Torrelles),Genèrica,Tramitada,,2025-10-31,2025-10-13,,1,Nivell A,,HOQUEI PATINS,BENJAMÍ,MIXT,Dissabte,15:00 h,,HOQUEI PATINS PREBENJAMÍ MIXT GRUP 01 1a FASE CEEB,clubpatitorrelles@gmail.com
216719,"CEBLL (Club Hoquei Prat) ""A""",HOQUEI PATINS PREBENJAMI MIXT 1ª FASE CEEB,,CEBLL (Club Hoquei Prat),Genèrica,Tramitada,,2025-10-06,2025-10-06,,1,Nivell A,Indiferent,HOQUEI PATINS,PREBENJAMÍ,MIXT,Dissabte,15:00 h,,HOQUEI PATINS PREBENJAMÍ MIXT GRUP 01 1a FASE CEEB,clubhoqueiprat@gmail.com
216717,"CEBLL (Club Hoquei Prat) ""A""",HOQUEI PATINS ALEVÍ MIXT 1ª FASE CEEB,,CEBLL (Club Hoquei Prat),Genèrica,Tramitada,,2025-10-06,2025-10-06,,1,Nivell A,Indiferent,HOQUEI PATINS,PREINFANTIL,MIXT,Dissabte,15:00 h,,HOQUEI PATINS ALEVÍ MIXT GRUP 01 1a FASE CEEB,clubhoqueiprat@gmail.com
216658,"CEBN (CHP Sant Josep Badalona) ""H""",HOQUEI PATINS ALEVÍ MIXT 1ª FASE CEEB,,CEBN (CHP Sant Josep Badalona),Genèrica,Tramitada,,2025-10-10,2025-10-06,,1,Nivell C,Indiferent,HOQUEI PATINS,ALEVÍ,MIXT,Dissabte,09:00 h,,HOQUEI PATINS ALEVÍ MIXT GRUP 01 1a FASE CEEB,marcramirezcamps@gmail.com
216466,Escola IPSI,HOQUEI SALA ALEVÍ MIXT 1ª FASE CEEB,,Escola IPSI,Genèrica,Tramitada,,2025-10-17,2025-10-04,,1,Nivell A,Fora,HOQUEI SALA,ALEVÍ,MIXT,Dijous,18:00 h,Sempre juguem com a visitants perquè no tenim pista local,,oriol.morera@ipsi.cat
216465,Escola IPSI,HOQUEI SALA BENJAMI MIXT 1ª FASE CEEB,,Escola IPSI,Genèrica,Tramitada,,2025-10-17,2025-10-04,,1,Nivell A,Casa,HOQUEI SALA,BENJAMÍ,MIXT,Dijous,18:00 h,Sempre juguem com a visitants perquè no tenim pista com a local,,oriol.morera@ipsi.cat
216187,"CEBLL (CE Cornellà) ""A""",HOQUEI PATINS ALEVÍ MIXT 1ª FASE CEEB,,CEBLL (CE Cornellà),Genèrica,Tramitada,,2025-10-07,2025-10-03,,1,Nivell A,,HOQUEI PATINS,ALEVÍ,MIXT,Dissabte,09:00 h,,HOQUEI PATINS ALEVÍ MIXT GRUP 01 1a FASE CEEB,cecornellacoordinacio@gmail.com
215994,"CEVOS (Club Esportiu Hoquei Sabadell) ""A""",HOQUEI PATINS ALEVÍ MIXT 1ª FASE CEEB,,CEVOS (Club Esportiu Hoquei Sabadell),Genèrica,Tramitada,,2025-10-04,2025-10-03,,1,Nivell B,Fora,HOQUEI PATINS,PREINFANTIL,MIXT,Divendres,20:00 h,,HOQUEI PATINS ALEVÍ MIXT GRUP 01 1a FASE CEEB,joanestevecasablancas@gmail.com
215993,"CEVOS (Club Esportiu Hoquei Sabadell) ""A""",HOQUEI PATINS ALEVÍ MIXT 1ª FASE CEEB,,CEVOS (Club Esportiu Hoquei Sabadell),Genèrica,Tramitada,,2025-10-04,2025-10-03,,1,Nivell B,Casa,HOQUEI PATINS,ALEVÍ,MIXT,Divendres,20:00 h,,HOQUEI PATINS ALEVÍ MIXT GRUP 01 1a FASE CEEB,joanestevecasablancas@gmail.com
215863,Club Esportiu Sagrerenc,HOQUEI PATINS ALEVÍ MIXT 1ª FASE CEEB,,Club Esportiu Sagrerenc,Genèrica,Tramitada,,2025-10-17,2025-10-03,,1,Nivell C,,HOQUEI PATINS,ALEVÍ,MIXT,Dissabte,10:00 h,,HOQUEI PATINS ALEVÍ MIXT GRUP 01 1a FASE CEEB,polriveras@pockethockey.cat
215862,Club Esportiu Sagrerenc,HOQUEI PATINS PREBENJAMI MIXT 1ª FASE CEEB,,Club Esportiu Sagrerenc,Genèrica,Tramitada,,2025-10-17,2025-10-03,,1,Nivell C,,HOQUEI PATINS,PREBENJAMÍ,MIXT,Dissabte,09:00 h,,HOQUEI PATINS PREBENJAMÍ MIXT GRUP 01 1a FASE CEEB,polriveras@pockethockey.cat
215530,"Esportiu Maristes Sant Joan ""A""",HOQUEI PATINS ALEVÍ MIXT 1ª FASE CEEB,,Esportiu Maristes Sant Joan,Genèrica,Tramitada,,2025-10-03,2025-10-01,,1,Nivell C,1,HOQUEI PATINS,ALEVÍ,MIXT,Dissabte,09:00 h,,HOQUEI PATINS ALEVÍ MIXT GRUP 01 1a FASE CEEB,maristeshoquei@gmail.com
214704,"CEB (Club Patí Manresa) ""A""",HOQUEI PATINS ALEVÍ MIXT 1ª FASE CEEB,,CEB (Club Patí Manresa),Genèrica,Tramitada,,2025-10-09,2025-09-26,,1,Nivell A,Indiferent,HOQUEI PATINS,PREINFANTIL,MIXT,Dissabte,15:15 h,,HOQUEI PATINS ALEVÍ MIXT GRUP 01 1a FASE CEEB,secretaria@clubpatimanresa.cat
