Id Inscripció,Nom,Nom Lliga,Territorial de la competició,Entitat,Territorial del club,Estat,Codi Lliga,Data Pagament Albara,Data Introducció,Accés a les fases,Is Impresa?,Nivell,Pista joc,Núm. sorteig,Modalitat,Categoria,Subcategoria,Dia partit,Horari partit,Observacions,Grups,Email
225107,"Escola de Futbol Sala Prosperitat ""A""",FUTBOL 5 ALEVÍ MIXT 2ª FASE CEEB,,Escola de Futbol Sala Prosperitat,Genèrica,Anul·lada,,2025-12-19,2025-12-19,,0,Nivell E,Escola Mercé Rodoreda,,FUTBOL 5,ALEVÍ,MIXT,Dissabte,10:00 h,,,j.lerma.valero@gmail.com
225106,"Escola de Futbol Sala Prosperitat ""A""",FUTBOL 5 BENJAMÍ MIXT 2ª FASE CEEB,,Escola de Futbol Sala Prosperitat,Genèrica,Anul·lada,,2025-12-19,2025-12-19,,0,Nivell E,Escola Mercé Rodoreda,,FUTBOL 5,BENJAMÍ,MIXT,Dissabte,10:00 h,,,j.lerma.valero@gmail.com
225105,"Escola de Futbol Sala Prosperitat ""A""",FUTBOL 5 MENUTS|MENUDES MIXT 2ª FASE CEEB,,Escola de Futbol Sala Prosperitat,Genèrica,Anul·lada,,2025-12-19,2025-12-19,,0,Nivell E,Escola Mercé Rodoreda,,FUTBOL 5,MENUTS,MIXT,Dissabte,10:00 h,,,j.lerma.valero@gmail.com
225104,CELH (CE Alheña),FUTBOL 5 INFANTIL FEMENÍ 2ª FASE CEEB,,CELH (CE Alheña),Genèrica,Anul·lada,,2025-12-19,2025-12-19,,0,Nivell A,Pavelló Municipal d'Esports d'Alheña,,FUTBOL 5,INFANTIL,FEMENÍ,Dissabte,10:00 h,,,cealhenya@gmail.com
225103,"Escola Sant Josep Oriol ""A""",FUTBOL 5 PREALEVÍ MIXT 2ª FASE CEEB,,Escola Sant Josep Oriol,Genèrica,Preinscrita,,,2025-12-19,,0,Nivell D,Escola Sant Josep Oriol,Casa,FUTBOL 5,PREALEVÍ,MIXT,Divendres,18:00 h,,,info@mesaccio.com
225102,"Escola Sant Josep Oriol ""A""",FUTBOL 5 BENJAMÍ MIXT 2ª FASE CEEB,,Escola Sant Josep Oriol,Genèrica,Preinscrita,,,2025-12-19,,0,Nivell D,Escola Sant Josep Oriol,Casa,FUTBOL 5,BENJAMÍ,MIXT,Divendres,18:00 h,,FUTBOL 5 BENJAMÍ MIXT GRUP 03 1a FASE CEEB,info@mesaccio.com
225101,Associació Can Baró Cultural,FUTBOL 5 PREINFANTIL FEMENÍ 2ª FASE CEEB,,Associació Can Baró Cultural,Genèrica,Anul·lada,,2025-12-19,2025-12-19,,0,Nivell E,Pista Poliesportiva Municipal Can Baró,Casa,FUTBOL 5,PREINFANTIL,FEMENÍ,Divendres,19:00 h,,FUTBOL 5 PREINFANTIL FEMENÍ GRUP 01 1a FASE CEEB,albagdd1997@gmail.com
225100,"Col·legi Canigó ""B""",VOLEIBOL CADET FEMENÍ 2ª FASE CEEB,,Col·legi Canigó,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,Col·legi Canigó,Fora,VOLEIBOL,CADET,FEMENI,Dissabte,10:30 h,,VOLEIBOL CADET FEMENÍ GRUP 04 1a FASE CEEB,canigosports@fomento.edu
225099,"CBLSH ""A""",BÀSQUET BENJAMÍ MIXT 2ª FASE CEEB,,Club Bàsquet Kobras,Genèrica,Facturada,,,2025-12-18,,1,Nivell D,Col·legi La Salle Horta,,BÀSQUET,BENJAMÍ,MIXT,Dissabte,11:00 h,,BÀSQUET BENJAMÍ MIXT GRUP 05 1a FASE CEEB,cbkobras@gmail.com
225098,"CBLSH ""A""",BÀSQUET INFANTIL MIXT 2ª FASE CEEB,,Club Bàsquet Kobras,Genèrica,Facturada,,,2025-12-18,,1,Nivell D,Col·legi La Salle Horta,,BÀSQUET,INFANTIL,MIXT,Dissabte,11:00 h,,BÀSQUET INFANTIL MIXT GRUP 03 1a FASE CEEB,cbkobras@gmail.com
225084,"AF Sant Antoni Futsal ""A""",FUTBOL 5 MENUTS|MENUDES MIXT 2ª FASE CEEB,,AF Sant Antoni Futsal,Genèrica,Anul·lada,,2025-12-18,2025-12-18,,0,Nivell E,CEM Aiguajoc Borrell,Fora,FUTBOL 5,MENUTS,MIXT,Divendres,18:15 h,,,af6epsa@gmail.com
225082,"AF Sant Antoni Futsal ""A""",FUTBOL 5 MENUDETS|MENUDETES MIXT 2ª FASE CEEB,,AF Sant Antoni Futsal,Genèrica,Anul·lada,,2025-12-18,2025-12-18,,0,Nivell E,CEM Aiguajoc Borrell,Casa,FUTBOL 5,MENUDETS,MIXT,Divendres,18:15 h,,,af6epsa@gmail.com
225076,"Col·legi Xaloc (Club Juvenil Balandrau) ""A""",FUTBOL 5 LLIGA JOVE MIXT 2ª FASE CEEB,,Col·legi Xaloc,Genèrica,Facturada,,,2025-12-18,,1,Nivell D,Col·legi Xaloc,Indiferent,FUTBOL 5,SÈNIOR,MIXT,Dissabte,13:30 h,,FUTBOL 5 LLIGA JOVE MIXT GRUP 03 1a FASE CEEB,joan.aragones@xaloc.org
225069,Penya Barcelonista Collblanc Sants,FUTBOL 7 MENUTS|MENUDES MIXT 2ª FASE CEEB,,Penya Barcelonista Collblanc Sants,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell A,Instal·lacions Esportives Aristides Maillol,1,FUTBOL 7,MENUTS,MIXT,Dissabte,11:45 h,,,administracio@pbcollblanc.com
225068,"Fundació Brafa ""B""",FUTBOL 7 PREBENJAMÍ MIXT 2ª FASE CEEB,,Fundació Brafa,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,Pistes de la Fundació Brafa,,FUTBOL 7,PREBENJAMÍ,MIXT,Dissabte,09:00 h,,,ivan.pelegri@horta.salesians.cat
225067,"Fundació Brafa ""A""",FUTBOL 7 ALEVÍ MIXT 2ª FASE CEEB,,Fundació Brafa,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,Pistes de la Fundació Brafa,Casa,FUTBOL 7,ALEVÍ,MIXT,Dissabte,09:00 h,,,albert.dominguez@bbva.com
225066,"Fundació Brafa ""A""",FUTBOL 7 BENJAMÍ MIXT 2ª FASE CEEB,,Fundació Brafa,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,Pistes de la Fundació Brafa,Fora,FUTBOL 7,BENJAMÍ,MIXT,Dissabte,10:15 h,,,stecnica@brafa.org
225065,"Fundació Brafa ""A""",FUTBOL 7 PREBENJAMÍ MIXT 2ª FASE CEEB,,Fundació Brafa,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,Pistes de la Fundació Brafa,Fora,FUTBOL 7,PREBENJAMÍ,MIXT,Dissabte,09:00 h,,,nachoparraanguera@gmail.com
225064,"Fundació Brafa ""A""",FUTBOL 7 PREALEVÍ MIXT 2ª FASE CEEB,,Fundació Brafa,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,Pistes de la Fundació Brafa,Fora,FUTBOL 7,PREALEVÍ,MIXT,Dissabte,10:15 h,,,ivancitoelmasgrande@gmail.com
225063,"Fundació Brafa ""A""",FUTBOL 7 MENUTS|MENUDES MIXT 2ª FASE CEEB,,Fundació Brafa,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,Pistes de la Fundació Brafa,Indiferent,FUTBOL 7,MENUTS,MIXT,Dissabte,09:00 h,,,wrivero657@gmail.com
225062,CEM (Hamelin Laie International School),FUTBOL 7 INFANTIL MIXT 2ª FASE CEEB,,CEM (Hamelin Laie International School),Genèrica,Anul·lada,,2025-12-18,2025-12-18,,0,Nivell D,Hamelin Laie Internacional School,Fora,FUTBOL 7,INFANTIL,MIXT,Divendres,18:45 h,,,sports@hamelinschool.com
