Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
HOQUEI PATINS PREBENJAMI MIXT 1ª FASE CEEB,G1,D1F5684E3A,"Club Patí Congres - Hoquei ""A""",Club Patí Congres - Hoquei,Nivell A,Dissabte,1,1,[]
HOQUEI PATINS PREBENJAMI MIXT 1ª FASE CEEB,G1,CF36308DBA,"Unio Esportiva d´Horta ""Blau""",Unio Esportiva d´Horta,Nivell A,Dissabte,Casa,2,"[(1, 'Fora', 'Club Patí Congres - Hoquei ""A""'), (2, 'Casa', 'Descans 7')]"
HOQUEI PATINS PREBENJAMI MIXT 1ª FASE CEEB,G1,EF2453C854,"CEBLL (Club Hoquei Prat) ""A""",CEBLL (Club Hoquei Prat),Nivell A,Dissabte,Indiferent,3,[]
HOQUEI PATINS PREBENJAMI MIXT 1ª FASE CEEB,G1,242E155D3B,"CEBLL (CB Torrelles) ""A""",CEBLL (CB Torrelles),Nivell A,Dissabte,,4,[]
HOQUEI PATINS PREBENJAMI MIXT 1ª FASE CEEB,G1,DUMMY-4,Descans 4,Descans,Descans,,,5,[]
HOQUEI PATINS PREBENJAMI MIXT 1ª FASE CEEB,G1,F75C612FEA,"FC Martinenc ""A""",FC Martinenc,Nivell A,Dissabte,Casa,6,[]
HOQUEI PATINS PREBENJAMI MIXT 1ª FASE CEEB,G1,DUMMY-6,Descans 6,Descans,Descans,,,7,[]
HOQUEI PATINS PREBENJAMI MIXT 1ª FASE CEEB,G1,DUMMY-7,Descans 7,Descans,Descans,,,8,[]
HOQUEI PATINS PREBENJAMI MIXT 1ª FASE CEEB,G2,C84BBE80E1,"Club Patí Congres - Hoquei ""B""",Club Patí Congres - Hoquei,Nivell E,Dissabte,1,1,[]
HOQUEI PATINS PREBENJAMI MIXT 1ª FASE CEEB,G2,DUMMY-2,Descans 2,Descans,Descans,,,2,[]
HOQUEI PATINS PREBENJAMI MIXT 1ª FASE CEEB,G2,DUMMY-3,Descans 3,Descans,Descans,,,3,[]
HOQUEI PATINS PREBENJAMI MIXT 1ª FASE CEEB,G2,3F4F9AA93C,"CEBLL (Hoquei Club Sant Just) ""Groc""",CEBLL (Hoquei Club Sant Just),Nivell B,Dissabte,Indiferent,4,[]
HOQUEI PATINS PREBENJAMI MIXT 1ª FASE CEEB,G2,5DE77307A7,Club Esportiu Sagrerenc,Club Esportiu Sagrerenc,Nivell C,Dissabte,,5,[]
HOQUEI PATINS PREBENJAMI MIXT 1ª FASE CEEB,G2,DUMMY-5,Descans 5,Descans,Descans,,,6,[]
HOQUEI PATINS PREBENJAMI MIXT 1ª FASE CEEB,G2,610806AB7B,"Club Hoquei Claret ""A""",Club Hoquei Claret,Nivell E,Dissabte,Indiferent,7,[]
HOQUEI PATINS PREBENJAMI MIXT 1ª FASE CEEB,G2,DUMMY-1,Descans 1,Descans,Descans,,,8,[]
