Id Categoria;Modalitat;Nom;Descripció;Nom Abreviat;Ordre;CodiExtern
6;FUTBOL 5;PREBENJAMÍ;;;;
7;FUTBOL 5;BENJAMÍ;;;;
8;FUTBOL 5;PREALEVÍ;;;;
9;FUTBOL 5;ALEVÍ;;;;
10;FUTBOL 5;PREINFANTIL;;;;
11;FUTBOL 5;INFANTIL;;;;
12;FUTBOL 5;CADET;;;;
13;FUTBOL 5;JUVENIL;;;;
14;FUTBOL 5;JÚNIOR;;;;
18;BÀSQUET;PREBENJAMÍ;;;;
19;BÀSQUET;BENJAMÍ;;;;
20;BÀSQUET;PREALEVÍ;;;;
21;BÀSQUET;ALEVÍ;;;;
22;BÀSQUET;PREINFANTIL;;;;
23;BÀSQUET;INFANTIL;;;;
24;BÀSQUET;CADET;;;;
25;BÀSQUET;JUVENIL;;;;
26;BÀSQUET;JÚNIOR;;;;
36;BÀSQUET;SÈNIOR;;;;
51;FUTBOL 11;CADET;;;;
53;FUTBOL 11;JUVENIL;;;;
69;HANDBOL;PREBENJAMÍ;;;;
70;HANDBOL;BENJAMÍ;;;;
71;HANDBOL;PREALEVÍ;;;;
72;HANDBOL;ALEVÍ;;;;
73;HANDBOL;PREINFANTIL;;;;
74;HANDBOL;INFANTIL;;;;
75;HANDBOL;CADET;;;;
81;BÀSQUET;TÈCNIC/TÈCNICA;;;;TEC
82;FUTBOL 5;SÈNIOR;;;;
83;FUTBOL 11;INFANTIL;;;;
84;FUTBOL 11;PREINFANTIL;;;;
85;BÀSQUET;DELEGAT;;;;
86;FUTBOL 5;TÈCNIC/TÈCNICA;Persona màxima responsable de l’equip o grup d’esportistes que participa a les competicions del Ceeb. Per poder fer la llicència heu d'estar inscrits al: ROPEC com Entrenador/monitor modalitat (competència federativa) ROPEC com a Monitor Esportiu + Càpsula modalitat (Ceeb o Federació) COPLEC Validació Titulacions LCAFE;;;TEC
